date,max_temperature,precipitation,snow_depth,dow,weekday,trips
2017-10-27T00:00:00Z,62,0,0,5,TRUE,63079
2017-10-28T00:00:00Z,69,0,0,6,FALSE,50208
2017-10-29T00:00:00Z,67,3.03,0,0,FALSE,8751
2017-10-30T00:00:00Z,61,0.25,0,1,TRUE,46446
2017-10-31T00:00:00Z,57,0,0,2,TRUE,56465
2017-11-01T00:00:00Z,59,0,0,3,TRUE,57534
2017-11-02T00:00:00Z,72,0,0,4,TRUE,65463
2017-11-03T00:00:00Z,74,0,0,5,TRUE,64493
2017-11-04T00:00:00Z,56,0,0,6,FALSE,44853
2017-11-05T00:00:00Z,61,0.02,0,0,FALSE,31395
2017-11-06T00:00:00Z,66,0.01,0,1,TRUE,53999
2017-11-07T00:00:00Z,49,0.7,0,2,TRUE,34054
2017-11-08T00:00:00Z,49,0,0,3,TRUE,51682
2017-11-09T00:00:00Z,55,0,0,4,TRUE,55397
2017-11-10T00:00:00Z,51,0.01,0,5,TRUE,36797
2017-11-11T00:00:00Z,38,0,0,6,FALSE,26068
2017-11-12T00:00:00Z,46,0,0,0,FALSE,29377
2017-11-13T00:00:00Z,47,0.07,0,1,TRUE,37417
2017-11-14T00:00:00Z,48,0,0,2,TRUE,50257
2017-11-15T00:00:00Z,51,0,0,3,TRUE,52083
2017-11-16T00:00:00Z,57,0.2,0,4,TRUE,47697
2017-11-17T00:00:00Z,47,0,0,5,TRUE,46463
2017-11-18T00:00:00Z,56,0.1,0,6,FALSE,25525
2017-11-19T00:00:00Z,59,0.23,0,0,FALSE,28940
2017-11-20T00:00:00Z,47,0,0,1,TRUE,43297
2017-11-21T00:00:00Z,58,0,0,2,TRUE,49597
2017-11-22T00:00:00Z,56,0.21,0,3,TRUE,30740
2017-11-23T00:00:00Z,43,0,0,4,TRUE,11526
2017-11-24T00:00:00Z,50,0,0,5,TRUE,20632
2017-11-25T00:00:00Z,57,0,0,6,FALSE,25199
2017-11-26T00:00:00Z,51,0,0,0,FALSE,24223
2017-11-27T00:00:00Z,51,0,0,1,TRUE,44653
2017-11-28T00:00:00Z,54,0,0,2,TRUE,49296
2017-11-29T00:00:00Z,63,0,0,3,TRUE,53019
2017-11-30T00:00:00Z,53,0.03,0,4,TRUE,49628
2017-12-01T00:00:00Z,52,0,0,5,TRUE,48324
2017-12-02T00:00:00Z,48,0,0,6,FALSE,35059
2017-12-03T00:00:00Z,48,0,0,0,FALSE,30761
2017-12-04T00:00:00Z,51,0,0,1,TRUE,47315
2017-12-05T00:00:00Z,61,0.75,0,2,TRUE,40148
2017-12-06T00:00:00Z,59,0,0,3,TRUE,44822
2017-12-07T00:00:00Z,44,0,0,4,TRUE,43718
2017-12-08T00:00:00Z,39,0,0,5,TRUE,39806
2017-12-09T00:00:00Z,35,0.46,0,6,FALSE,10376
2017-12-10T00:00:00Z,39,0,3.9,0,FALSE,18820
2017-12-11T00:00:00Z,41,0,2,1,TRUE,40419
2017-12-12T00:00:00Z,50,0,0,2,TRUE,41358
2017-12-13T00:00:00Z,31,0,0,3,TRUE,31791
2017-12-14T00:00:00Z,32,0.09,1.2,4,TRUE,26848
2017-12-15T00:00:00Z,28,0.11,1.2,5,TRUE,22397
2017-12-16T00:00:00Z,39,0,2,6,FALSE,18252
